Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Abeille-coucou de Macropis,,Données insuffisantes,2025-05-08,Epeoloides pilosulus,Abeille-coucou de Macropis,,En voie de disparition,2018-05-30,Annexe 1,2018-05-30,"Alberta, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan",Arthropodes,,Ajout à la liste
Abronie à petites fleurs,,Préoccupante,2022-12-03,Tripterocalyx micranthus,Abronie à petites fleurs,,En voie de disparition,,Annexe 1,2005-01-12,"Alberta, Saskatchewan",Plantes vasculaires,Changement de statut,En attente
Abronie rose,,En voie de disparition,2004-05-01,Abronia umbellata,Abronie rose,,En voie de disparition,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Achillée à gros capitules,,Préoccupante,2018-04-27,Achillea millefolium var. megacephala,Achillée à gros capitules,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Saskatchewan,Plantes vasculaires,,Ajout à la liste
Acroscyphe des montagnes,,Préoccupante,2016-04-29,Acroscyphus sphaerophoroides,Acroscyphe des montagnes,,Préoccupante,2019-02-25,Annexe 1,2019-02-25,Colombie-Britannique,Lichens,,Ajout à la liste
Adiante cheveux-de-Vénus,,En voie de disparition,2011-05-06,Adiantum capillus-veneris,Adiante cheveux-de-Vénus,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Agrion vif,,Préoccupante,2015-05-01,Argia vivida,Agrion vif,,Préoccupante,2019-02-25,Annexe 1,2019-02-25,"Alberta, Colombie-Britannique",Arthropodes,,Ajout à la liste
Aigle royal,,Non en péril,1996-04-01,Aquila chrysaetos,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Aiguillat commun du Pacifique Nord,,Préoccupante,2011-11-25,Squalus suckleyi,Aiguillat commun du Pacifique Nord,,Aucun statut,,Aucune annexe,,Océan Pacifique,Poissons marins,Un ajout,En attente
Aiguillat commun,Population de l'Atlantique,Préoccupante,2010-04-25,Squalus acanthias,Aiguillat commun,Population de l'Atlantique,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Airelle à longues étamines,,Menacée,2020-11-04,Vaccinium stamineum,Airelle à longues étamines,,Menacée,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Alasmidonte naine,,Disparue du pays,2021-12-01,Alasmidonta heterodon,Alasmidonte naine,,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,Nouveau-Brunswick,Mollusques,,Ajout à la liste
Alasmidonte renflée,,Préoccupante,2022-12-03,Alasmidonta varicosa,Alasmidonte renflée,,Préoccupante,2013-03-08,Annexe 1,2013-03-08,"Nouveau-Brunswick, Nouvelle-Écosse",Mollusques,,Ajout à la liste
Albatros à pieds noirs,,Préoccupante,2007-04-22,Phoebastria nigripes,Albatros à pieds noirs,,Préoccupante,2009-03-05,Annexe 1,2009-03-05,Océan Pacifique,Oiseaux,,Ajout à la liste
Albatros à queue courte,,Menacée,2013-11-01,Phoebastria albatrus,Albatros à queue courte,,Menacée,2005-07-14,Annexe 1,2005-07-14,"Colombie-Britannique, Océan Pacifique",Oiseaux,,Ajout à la liste
Alétris farineux,,En voie de disparition,2015-11-26,Aletris farinosa,Alétris farineux,,En voie de disparition,2019-02-25,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Promouvoir: Menacée à en voie de disparition
Alosa d'été,,Non en péril,1980-04-01,Alosa aestivalis,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique",Poissons marins,,
Alouette hausse-col de la sous-espèce strigata,,En voie de disparition,2018-04-27,Eremophila alpestris strigata,Alouette hausse-col de la sous-espèce strigata,,En voie de disparition,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Oiseaux,,Ajout à la liste
Ambystoma unisexué,Population dépendante de la salamandre à petite bouche,En voie de disparition,2016-04-29,Ambystoma laterale - texanum,Ambystoma unisexué,Population dépendante de la salamandre à petite bouche,En voie de disparition,2021-08-12,Annexe 1,2021-08-12,Ontario,Amphibiens,,Ajout à la liste
Ambystoma unisexué,Population dépendante de la salamandre à points bleus,Non en péril,2016-04-29,Ambystoma (2) laterale - jeffersonianum,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec",Amphibiens,,
Ambystoma unisexué,Population dépendante de la salamandre de Jefferson,En voie de disparition,2016-04-29,Ambystoma laterale - (2) jeffersonianum,Ambystoma unisexué,Population dépendante de la salamandre de Jefferson,En voie de disparition,2021-08-12,Annexe 1,2021-08-12,Ontario,Amphibiens,,Ajout à la liste
Amiral de Weidemeyer,,Préoccupante,2012-05-04,Limenitis weidemeyerii,Amiral de Weidemeyer,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Alberta,Arthropodes,,Ajout à la liste
Ammannie robuste,,En voie de disparition,2001-05-01,Ammannia robusta,Ammannie robuste,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Colombie-Britannique, Ontario",Plantes vasculaires,,Ajout à la liste
Andersonie charmante,,Menacée,2017-11-01,Bryoandersonia illecebra,Andersonie charmante,,Menacée,2021-04-23,Annexe 1,2005-01-12,Ontario,Mousses,,Rétrograder: En voie de disparition à menacée
Anguille d'Amérique,,Menacée,2012-05-04,Anguilla rostrata,Anguille d'Amérique,,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Ontario, Québec, Terre-Neuve-et-Labrador",Poissons d'eau douce,Un ajout,En attente
Anisote de Finlayson,,Préoccupante,2023-12-01,Anisota finlaysoni,Anisote de Finlayson,,Aucun statut,,Aucune annexe,,Ontario,Arthropodes,Un ajout,En attente
