ELEMENT_ID,GRAND_GROUPE,Nom_francais,Autres_noms_francais,Nom_anglais,Autres_noms_anglais,Nom_scientifique,Anciens_noms_scientifiques,Commentaires,Origine,Regularite,Degre_de_certitude,Statuts_des_populations,CLASSE,ORDRE,FAMILLE,GENRE,ESPECE,SOUS_ESPECE_POP,Rang_S,STATUT_LEMV,COMPETENCE_PRINCIPALE
1,Amphibiens,Salamandre à points bleus,,Blue-spotted Salamander,,Ambystoma laterale,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Ambystomatidae,Ambystoma,laterale,,S5,Non suivie,Québec
2,Amphibiens,Salamandre maculée,lézard d'eau; salamande vénéneuse,Spotted Salamander,Spotted Salamander; Violet-colored Salamander,Ambystoma maculatum,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,,S5,Non suivie,Québec
3,Amphibiens,Salamandre sombre du Nord,salamandre sombre; lézard,Northern Dusky Salamander,Dusky Salamander,Desmognathus fuscus,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Plethodontidae,Desmognathus,fuscus,,S5,Susceptible,Québec
4,Amphibiens,"Salamandre sombre des montagnes, pop. des Appalaches","salamandre sombre des montagnes, pop. 2; salamandre sombre des montagnes, pop. des Grands Lacs et du Saint-Laurent",Allegheny Mountain Dusky Salamander - Appalachian population,Allegheny Mountain Dusky Salamander - Great Lakes - St. Lawrence Population,Desmognathus ochrophaeus pop. 2,,"Le nom français ""salamandre sombre des montagnes"" et le nom anglais ""Mountain Dusky Salamander"" ne sont pas assez précis pour désigner cette espèce, car il existe d'autres salamandres sombres des montagnes en Amérique du Nord. Toutefois, le statut d'espèce menacée a été attribué au nom français simplifié ""salamandre sombre des montagnes"" et non à son nom précis ""salamandre sombre des montagnes Allegheny"".",Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,pop. 2,S2S3,Menacée,Québec
5,Amphibiens,Salamandre à deux lignes,salamandre à deux lignes du Nord,Northern Two-lined Salamander,Two-lined Salamander,Eurycea bislineata,,"Le nom français ""salamandre à deux lignes"" et le nom anglais ""Two-lined Salamander"" ne sont pas assez précis pour désigner l'espèce, car ils sont associés à d'autres espèces du genre Eurycea.",Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Plethodontidae,Eurycea,bislineata,,S5,Non suivie,Québec
7,Amphibiens,Salamandre à quatre orteils,salamandre à quatre doigts,Four-toed Salamander,,Hemidactylium scutatum,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Plethodontidae,Hemidactylium,scutatum,,S3,Susceptible,Québec
8,Amphibiens,Salamandre cendrée,salamandre rayée; salamandre dos-rouge; lézard,Eastern Red-backed Salamander,Redback Salamander; Eastern Red-backed Salamander; Red-backed Salamander; Red-backer Salamander,Plethodon cinereus,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,,S5,Non suivie,Québec
9,Amphibiens,Necture tacheté,necture tacheté commun; lézard d'eau; morron; raseux de fond; ménobranche latéral,Mudpuppy,Common Mudpuppy; Waterdog; Proteus of Lakes,Necturus maculosus,,"Il est possible que seule la sous-espèce N. m. maculosus soit présente au Québec. Le nom français de cette sous-espèce est ""necture tacheté commun"" et le nom anglais est ""Common Mudpuppy"".",Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Proteidae,Necturus,maculosus,,S3S4,Non suivie,Québec
10,Amphibiens,Triton vert,lézard d'eau; salamandre symétrique,Eastern Newt,Red-spotted Newt; Elf; Common Newt; Symetrical Salamander,Notophthalmus viridescens,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,,S5,Non suivie,Québec
11,Amphibiens,Crapaud d'Amérique,crapaud d'Amérique de l'Est; crapeau américain,American Toad,Eastern American Toad; Common Toad; Hop Toad,Anaxyrus americanus,Bufo americanus,"Il est possible que seule la sous-espèce A. a. americanus soit présente au Québec. Le nom français de cette sous-espèce est ""crapaud d'Amérique de l'Est"" et le nom anglais est ""Eastern American Toad"".",Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,,S5,Non suivie,Québec
12,Amphibiens,Rainette versicolore,rainette criarde; crapeau vert,Gray Treefrog,Tetraploid Gray Treefrog; Common Tree Frog; Tree Frog; Tree Toad,Dryophytes versicolor,Hyla versicolor,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Hylidae,Dryophytes,versicolor,,S4,Non suivie,Québec
